Player,FG%,3P%,2P%,eFG%,FT%,PTS,Year,season_date
Jackie Robinson,0.529,0.0,0.563,0.529,0.818,3.9,1980,1980-01-01
Al Skinner,0.5,0.0,0.5,0.5,0.0,1.0,1980,1980-01-01
Jim Spanarkel,0.471,0.0,0.477,0.471,0.831,5.0,1980,1980-01-01
Bernard Toone,0.359,0.143,0.386,0.367,0.8,2.4,1980,1980-01-01
Gus Williams,0.482,0.194,0.489,0.484,0.788,22.1,1980,1980-01-01
Wally Walker,0.507,0.0,0.507,0.507,0.75,4.7,1980,1980-01-01
Paul Silas,0.378,0.0,0.378,0.378,0.654,3.8,1980,1980-01-01
Jack Sikma,0.475,0.0,0.476,0.475,0.805,14.3,1980,1980-01-01
Lonnie Shelton,0.53,0.2,0.532,0.531,0.763,13.6,1980,1980-01-01
Tom Lagarde,0.477,0.0,0.477,0.477,0.657,4.7,1980,1980-01-01
Vinnie Johnson,0.391,0.0,0.395,0.391,0.795,3.2,1980,1980-01-01
John Johnson,0.488,0.0,0.488,0.488,0.801,11.3,1980,1980-01-01
Dennis Johnson,0.422,0.207,0.431,0.426,0.78,19.0,1980,1980-01-01
Fred Brown,0.479,0.443,0.483,0.502,0.837,12.0,1980,1980-01-01
James Bailey,0.45,0.0,0.45,0.45,0.673,4.7,1980,1980-01-01
Larry Wright,0.458,0.25,0.465,0.462,0.889,7.3,1980,1980-01-01
John Williamson,0.439,0.314,0.445,0.446,0.841,14.6,1980,1980-01-01
Wes Unseld,0.513,0.5,0.513,0.514,0.665,9.7,1980,1980-01-01
Kevin Porter,0.459,0.0,0.463,0.459,0.803,7.3,1980,1980-01-01
Mitch Kupchak,0.419,0.0,0.424,0.419,0.693,4.7,1980,1980-01-01
Clint Richardson,0.457,0.333,0.458,0.458,0.622,6.7,1980,1980-01-01
Elvin Hayes,0.454,0.231,0.456,0.455,0.699,23.0,1980,1980-01-01
Steve Mix,0.516,0.4,0.518,0.519,0.831,11.6,1980,1980-01-01
Bobby Jones,0.532,0.0,0.534,0.532,0.781,13.0,1980,1980-01-01
Raymond Townsend,0.406,0.154,0.423,0.411,0.714,5.4,1980,1980-01-01
Jo Jo White,0.476,0.167,0.479,0.477,0.851,9.9,1980,1980-01-01
Bubba Wilson,0.28,0.0,0.28,0.28,0.5,1.1,1980,1980-01-01
Micheal Ray Richardson,0.472,0.245,0.498,0.485,0.66,15.3,1980,1980-01-01
Earl Monroe,0.457,0.0,0.457,0.457,0.875,7.4,1980,1980-01-01
Joe Meriweather,0.528,0.0,0.529,0.528,0.645,9.0,1980,1980-01-01
Toby Knight,0.529,0.0,0.53,0.529,0.808,19.1,1980,1980-01-01
Geoff Huston,0.39,0.176,0.406,0.396,0.737,3.1,1980,1980-01-01
Mike Glenn,0.516,0.2,0.525,0.519,0.863,5.9,1980,1980-01-01
Larry Demic,0.436,0.0,0.436,0.436,0.601,7.0,1980,1980-01-01
Hollis Copeland,0.495,0.0,0.497,0.495,0.733,5.7,1980,1980-01-01
Bill Cartwright,0.547,0.0,0.547,0.547,0.797,21.7,1980,1980-01-01
Henry Bibby,0.401,0.212,0.418,0.41,0.79,9.0,1980,1980-01-01
Maurice Cheeks,0.54,0.444,0.541,0.543,0.779,11.4,1980,1980-01-01
Doug Collins,0.466,0.0,0.467,0.466,0.911,13.8,1980,1980-01-01
Darryl Dawkins,0.522,0.0,0.526,0.522,0.653,14.7,1980,1980-01-01
Julius Erving,0.519,0.2,0.523,0.52,0.787,26.9,1980,1980-01-01
Lionel Hollins,0.403,0.15,0.413,0.406,0.721,11.2,1980,1980-01-01
Bobby Jones,0.532,0.0,0.534,0.532,0.781,13.0,1980,1980-01-01
Caldwell Jones,0.436,0.0,0.438,0.436,0.697,7.4,1980,1980-01-01
Phil Smith,0.474,0.318,0.48,0.48,0.789,15.5,1980,1980-01-01
Kevin Grevey,0.412,0.37,0.417,0.433,0.867,14.0,1980,1980-01-01
Dave Corzine,0.417,0.0,0.417,0.417,0.662,2.9,1980,1980-01-01
Mike Green,0.434,0.0,0.439,0.434,0.571,7.7,1980,1980-01-01
Ernie Grunfeld,0.443,0.5,0.443,0.444,0.771,5.9,1980,1980-01-01
Reggie King,0.515,0.0,0.516,0.515,0.726,8.2,1980,1980-01-01
Sam Lacey,0.448,0.0,0.448,0.448,0.741,9.2,1980,1980-01-01
Billy Mckinney,0.449,0.1,0.457,0.45,0.805,6.8,1980,1980-01-01
Marlon Redmond,0.428,0.0,0.457,0.428,0.706,5.9,1980,1980-01-01
Bill Robinzine,0.501,0.5,0.501,0.501,0.73,11.4,1980,1980-01-01
Scott Wedman,0.512,0.318,0.516,0.515,0.801,19.0,1980,1980-01-01
Gus Bailey,0.457,1.0,0.441,0.471,0.385,1.9,1980,1980-01-01
Ron Boone,0.443,0.38,0.446,0.453,0.893,12.4,1980,1980-01-01
Tom Boswell,0.564,0.5,0.566,0.569,0.755,11.4,1980,1980-01-01
Allan Bristow,0.48,0.286,0.482,0.482,0.811,11.6,1980,1980-01-01
Mack Calvin,0.441,0.091,0.458,0.443,0.897,6.4,1980,1980-01-01
Adrian Dantley,0.576,0.0,0.577,0.576,0.842,28.0,1980,1980-01-01
Brad Davis,0.556,0.0,0.565,0.556,0.813,4.6,1980,1980-01-01
Paul Dawkins,0.47,0.2,0.475,0.472,0.688,5.5,1980,1980-01-01
Greg Deane,0.182,1.0,0.1,0.227,0.714,1.4,1980,1980-01-01
Terry Furlow,0.464,0.293,0.481,0.477,0.872,13.9,1980,1980-01-01
John Gianelli,0.348,0.0,0.348,0.348,0.563,3.2,1980,1980-01-01
Gus Gerard,0.457,0.333,0.458,0.458,0.66,5.3,1980,1980-01-01
Bob Dandridge,0.451,0.182,0.455,0.453,0.809,17.4,1980,1980-01-01
Austin Carr,0.465,0.333,0.466,0.466,0.738,11.8,1980,1980-01-01
Don Ford,0.478,0.333,0.48,0.48,0.849,4.2,1980,1980-01-01
Jim Cleamons,0.476,0.226,0.494,0.483,0.743,6.6,1980,1980-01-01
Lawrence Boston,0.462,0.0,0.462,0.462,0.615,4.3,1980,1980-01-01
Ron Behagen,0.391,0.0,0.391,0.391,0.833,3.8,1980,1980-01-01
Greg Ballard,0.495,0.34,0.502,0.502,0.753,15.6,1980,1980-01-01
Otis Birdsong,0.505,0.278,0.511,0.508,0.694,22.7,1980,1980-01-01
Sylvester Norris,0.419,0.0,0.419,0.419,0.667,2.4,1980,1980-01-01
Terry Crosby,0.5,0.0,0.5,0.5,1.0,1.5,1980,1980-01-01
Len Elmore,0.43,0.0,0.43,0.43,0.689,4.5,1980,1980-01-01
Phil Ford,0.462,0.174,0.469,0.464,0.818,16.2,1980,1980-01-01
Bill Willoughby,0.479,0.111,0.487,0.48,0.756,6.9,1980,1980-01-01
Foots Walker,0.454,0.111,0.46,0.455,0.802,9.4,1980,1980-01-01
Earl Tatum,0.383,0.333,0.386,0.394,0.579,2.6,1980,1980-01-01
Willie Smith,0.384,0.239,0.426,0.411,0.769,4.8,1980,1980-01-01
Randy Smith,0.452,0.189,0.463,0.456,0.823,17.6,1980,1980-01-01
Campy Russell,0.451,0.111,0.456,0.452,0.745,18.2,1980,1980-01-01
Dave Robisch,0.52,0.0,0.522,0.52,0.842,15.3,1980,1980-01-01
Mike Mitchell,0.523,0.0,0.525,0.523,0.787,22.2,1980,1980-01-01
John Lambert,0.413,0.0,0.416,0.413,0.723,5.4,1980,1980-01-01
Walt Frazier,0.364,0.0,0.4,0.364,1.0,3.3,1980,1980-01-01
Kenny Carr,0.492,0.0,0.495,0.492,0.658,11.8,1980,1980-01-01
Purvis Short,0.503,0.0,0.507,0.503,0.812,17.0,1980,1980-01-01
Clifford Ray,0.53,0.0,0.533,0.53,0.564,6.0,1980,1980-01-01
Sonny Parker,0.489,0.0,0.49,0.489,0.785,14.7,1980,1980-01-01
Nick Weatherspoon,0.434,0.0,0.434,0.434,0.692,6.9,1980,1980-01-01
Bill Walton,0.503,0.0,0.503,0.503,0.593,13.9,1980,1980-01-01
Brian Taylor,0.467,0.377,0.5,0.517,0.802,13.5,1980,1980-01-01
Bingo Smith,0.432,0.284,0.447,0.445,0.87,11.4,1980,1980-01-01
Stan Pietkiewicz,0.508,0.25,0.573,0.534,0.804,4.6,1980,1980-01-01
John Olive,0.0,0.0,0.0,0.0,0.0,0.0,1980,1980-01-01
Swen Nater,0.554,0.0,0.556,0.554,0.718,13.4,1980,1980-01-01
World B. Free,0.474,0.36,0.476,0.477,0.753,30.2,1980,1980-01-01
Bob Carrington,0.405,0.0,0.429,0.405,0.75,3.6,1980,1980-01-01
Joe Bryant,0.431,0.147,0.446,0.435,0.742,9.3,1980,1980-01-01
Marvin Barnes,0.4,0.0,0.4,0.4,0.5,3.2,1980,1980-01-01
Mark Olberding,0.478,0.0,0.48,0.478,0.795,10.6,1980,1980-01-01
Wiley Peck,0.432,0.0,0.437,0.432,0.618,3.5,1980,1980-01-01
Kevin Restani,0.508,0.172,0.521,0.511,0.814,10.7,1980,1980-01-01
John Shumate,0.528,0.0,0.529,0.528,0.764,8.9,1980,1980-01-01
James Silas,0.514,0.0,0.516,0.514,0.887,17.7,1980,1980-01-01
Billy Ray Bates,0.493,0.421,0.504,0.521,0.718,11.3,1980,1980-01-01
Jim Brewer,0.489,0.0,0.503,0.489,0.483,2.9,1980,1980-01-01
Ron Brewer,0.464,0.188,0.471,0.466,0.84,15.7,1980,1980-01-01
Sidney Wicks,0.423,0.0,0.424,0.423,0.546,7.1,1980,1980-01-01
T.R. Dunn,0.436,0.0,0.438,0.436,0.757,6.9,1980,1980-01-01
Freeman Williams,0.48,0.328,0.496,0.496,0.815,18.6,1980,1980-01-01
Alonzo Bradley,0.354,1.0,0.34,0.365,0.667,1.9,1980,1980-01-01
Irv Kiffin,0.333,0.0,0.333,0.333,0.72,3.2,1980,1980-01-01
Larry Kenon,0.485,0.111,0.488,0.486,0.783,20.1,1980,1980-01-01
Paul Griffin,0.553,0.0,0.553,0.553,0.725,6.3,1980,1980-01-01
George Gervin,0.528,0.314,0.54,0.536,0.852,33.1,1980,1980-01-01
Mike Gale,0.454,0.154,0.464,0.456,0.808,6.6,1980,1980-01-01
Mike Evans,0.448,0.286,0.464,0.461,0.682,6.2,1980,1980-01-01
Harry Davis,0.5,0.0,0.5,0.5,0.5,3.3,1980,1980-01-01
Tim Bassett,0.353,0.0,0.353,0.353,0.667,2.8,1980,1980-01-01
Rudy White,0.542,0.0,0.542,0.542,0.769,4.0,1980,1980-01-01
Rudy Tomjanovich,0.476,0.278,0.498,0.49,0.803,14.2,1980,1980-01-01
Robert Reid,0.487,0.0,0.488,0.487,0.736,13.0,1980,1980-01-01
Calvin Murphy,0.493,0.04,0.502,0.493,0.897,20.0,1980,1980-01-01
Paul Mokeski,0.333,0.0,0.333,0.333,0.778,2.4,1980,1980-01-01
Moses Malone,0.502,0.0,0.504,0.502,0.719,25.8,1980,1980-01-01
Allen Leavell,0.503,0.158,0.513,0.505,0.814,10.9,1980,1980-01-01
Major Jones,0.48,0.333,0.481,0.481,0.565,5.3,1980,1980-01-01
Tom Henderson,0.477,0.0,0.48,0.477,0.727,5.5,1980,1980-01-01
Mike Dunleavy,0.464,0.15,0.485,0.469,0.828,8.0,1980,1980-01-01
Mike Dunleavy,0.464,0.15,0.485,0.469,0.828,8.0,1980,1980-01-01
Rick Barry,0.422,0.33,0.458,0.469,0.935,12.0,1980,1980-01-01
Bob Gross,0.468,0.1,0.476,0.469,0.833,8.7,1980,1980-01-01
Abdul Jeelani,0.51,0.0,0.515,0.51,0.789,9.6,1980,1980-01-01
Kevin Kunnert,0.439,0.0,0.439,0.439,0.605,7.0,1980,1980-01-01
Roy Hamilton,0.401,0.0,0.404,0.401,0.687,4.6,1980,1980-01-01
Phil Hubbard,0.466,0.0,0.468,0.466,0.75,9.1,1980,1980-01-01
Greg Kelser,0.472,0.2,0.479,0.475,0.719,14.2,1980,1980-01-01
Ron Lee,0.37,0.373,0.37,0.407,0.629,4.8,1980,1980-01-01
John Long,0.505,0.083,0.51,0.506,0.825,19.4,1980,1980-01-01
Steve Malovic,0.463,0.0,0.463,0.463,0.667,2.1,1980,1980-01-01
Bob Mcadoo,0.48,0.125,0.489,0.481,0.73,21.1,1980,1980-01-01
Eric Money,0.5,0.0,0.5,0.5,0.783,10.3,1980,1980-01-01
Terry Tyler,0.465,0.167,0.469,0.466,0.765,12.3,1980,1980-01-01
Sly Williams,0.39,0.0,0.395,0.39,0.644,4.7,1980,1980-01-01
Ray Williams,0.496,0.189,0.505,0.499,0.787,20.9,1980,1980-01-01
Marvin Webster,0.481,0.0,0.481,0.481,0.75,4.4,1980,1980-01-01
Tom Abernethy,0.481,0.0,0.483,0.481,0.683,5.4,1980,1980-01-01
Wayne Cooper,0.489,0.25,0.491,0.49,0.751,11.0,1980,1980-01-01
John Coughran,0.358,0.222,0.375,0.37,0.571,2.8,1980,1980-01-01
Darnell Hillman,0.458,0.0,0.458,0.458,0.5,4.0,1980,1980-01-01
Cheese Johnson,0.4,0.0,0.4,0.4,0.6,3.0,1980,1980-01-01
John Lucas,0.467,0.286,0.477,0.475,0.768,12.6,1980,1980-01-01
Robert Parish,0.507,0.0,0.507,0.507,0.715,17.0,1980,1980-01-01
Earl Evans,0.45,0.389,0.459,0.475,0.571,4.4,1980,1980-01-01
Terry Duerod,0.472,0.283,0.49,0.484,0.682,9.3,1980,1980-01-01
Leon Douglas,0.486,0.0,0.487,0.486,0.676,8.1,1980,1980-01-01
Kent Benson,0.484,0.2,0.486,0.485,0.702,9.6,1980,1980-01-01
Calvin Natt,0.479,0.333,0.48,0.48,0.73,19.9,1980,1980-01-01
Tom Owens,0.514,0.5,0.514,0.514,0.753,16.4,1980,1980-01-01
Jim Paxson,0.411,0.045,0.429,0.412,0.711,6.2,1980,1980-01-01
Larry Steele,0.425,0.0,0.437,0.425,0.815,9.1,1980,1980-01-01
Tony Zeno,0.286,0.0,0.286,0.286,1.0,1.8,1980,1980-01-01
George Mcginnis,0.451,0.133,0.457,0.453,0.553,14.7,1980,1980-01-01
John Kuester,0.353,0.0,0.364,0.353,0.714,1.2,1980,1980-01-01
Billy Knight,0.533,0.267,0.539,0.536,0.809,13.1,1980,1980-01-01
Mickey Johnson,0.463,0.156,0.471,0.465,0.799,19.1,1980,1980-01-01
James Hardy,0.507,0.5,0.507,0.508,0.773,5.5,1980,1980-01-01
Clemon Johnson,0.503,0.0,0.503,0.503,0.632,6.0,1980,1980-01-01
James Edwards,0.512,0.0,0.512,0.512,0.681,15.7,1980,1980-01-01
Johnny Davis,0.428,0.095,0.44,0.43,0.864,15.9,1980,1980-01-01
Phil Chenier,0.39,0.417,0.389,0.397,0.731,7.6,1980,1980-01-01
Ron Carter,0.405,0.0,0.405,0.405,0.286,2.5,1980,1980-01-01
Corky Calhoun,0.444,0.0,0.444,0.444,0.0,1.1,1980,1980-01-01
Dudley Bradley,0.452,0.4,0.452,0.453,0.782,8.4,1980,1980-01-01
Mike Bantom,0.505,0.333,0.506,0.506,0.665,11.8,1980,1980-01-01
Dave Twardzik,0.464,0.571,0.463,0.47,0.782,8.5,1980,1980-01-01
Kermit Washington,0.553,0.0,0.555,0.553,0.642,13.4,1980,1980-01-01
Joe Hassett,0.422,0.348,0.469,0.49,0.828,7.1,1980,1980-01-01
Carl Kilpatrick,0.5,0.0,0.5,0.5,0.5,1.5,1980,1980-01-01
Tom Burleson,0.346,0.0,0.356,0.346,0.575,2.6,1980,1980-01-01
Ben Poquette,0.523,0.0,0.525,0.523,0.832,8.9,1980,1980-01-01
Johnny High,0.446,0.143,0.453,0.447,0.674,5.0,1980,1980-01-01
Magic Johnson,0.53,0.226,0.54,0.534,0.81,18.0,1980,1980-01-01
Brad Holland,0.423,0.2,0.461,0.438,0.938,2.8,1980,1980-01-01
Gar Heard,0.417,0.0,0.419,0.417,0.744,5.0,1980,1980-01-01
Walter Davis,0.563,0.0,0.565,0.563,0.819,21.5,1980,1980-01-01
Jeff Cook,0.469,0.0,0.474,0.469,0.806,5.5,1980,1980-01-01
Don Buse,0.443,0.241,0.475,0.459,0.664,7.7,1980,1980-01-01
Mike Bratz,0.392,0.244,0.413,0.407,0.87,8.5,1980,1980-01-01
Alvan Adams,0.531,0.0,0.533,0.531,0.797,14.9,1980,1980-01-01
Tiny Archibald,0.482,0.222,0.488,0.485,0.83,14.1,1980,1980-01-01
Larry Bird,0.474,0.406,0.481,0.494,0.836,21.3,1980,1980-01-01
M.L. Carr,0.474,0.293,0.485,0.482,0.739,11.1,1980,1980-01-01
Don Chaney,0.354,0.167,0.361,0.357,0.762,2.8,1980,1980-01-01
Dave Cowens,0.453,0.083,0.458,0.453,0.779,14.2,1980,1980-01-01
Eric Fernsten,0.464,0.0,0.464,0.464,0.635,3.1,1980,1980-01-01
Chris Ford,0.465,0.427,0.477,0.515,0.754,11.2,1980,1980-01-01
Gerald Henderson,0.5,0.333,0.503,0.503,0.69,6.2,1980,1980-01-01
Gerald Henderson,0.5,0.333,0.503,0.503,0.69,6.2,1980,1980-01-01
Jeff Judkins,0.504,0.407,0.514,0.524,0.816,5.4,1980,1980-01-01
Pete Maravich,0.449,0.667,0.443,0.459,0.867,13.7,1980,1980-01-01
Cedric Maxwell,0.609,0.0,0.609,0.609,0.787,16.9,1980,1980-01-01
Tom Mcmillen,0.5,0.0,0.501,0.5,0.757,8.7,1980,1980-01-01
Sam Pellom,0.407,0.0,0.407,0.407,0.7,2.5,1980,1980-01-01
Tree Rollins,0.558,0.0,0.558,0.558,0.714,8.9,1980,1980-01-01
Dan Roundfield,0.499,0.0,0.5,0.499,0.71,16.5,1980,1980-01-01
Rich Kelley,0.473,0.0,0.476,0.473,0.787,8.8,1980,1980-01-01
Joel Kramer,0.469,0.0,0.472,0.469,0.8,3.5,1980,1980-01-01
Truck Robinson,0.512,0.0,0.512,0.512,0.667,17.3,1980,1980-01-01
Alvin Scott,0.422,0.333,0.423,0.424,0.779,4.4,1980,1980-01-01
Junior Bridgeman,0.478,0.185,0.484,0.48,0.865,17.6,1980,1980-01-01
Quinn Buckner,0.467,0.4,0.468,0.469,0.734,10.7,1980,1980-01-01
Harvey Catchings,0.398,0.0,0.399,0.398,0.629,3.2,1980,1980-01-01
Pat Cummings,0.505,0.0,0.505,0.505,0.764,6.6,1980,1980-01-01
Marques Johnson,0.544,0.222,0.546,0.545,0.791,21.7,1980,1980-01-01
Bob Lanier,0.537,0.167,0.54,0.538,0.782,19.2,1980,1980-01-01
Dave Meyers,0.481,0.2,0.482,0.481,0.634,12.1,1980,1980-01-01
Sidney Moncrief,0.468,0.0,0.469,0.468,0.795,8.5,1980,1980-01-01
Lloyd Walton,0.455,0.333,0.456,0.457,0.69,3.6,1980,1980-01-01
Richard Washington,0.468,0.0,0.468,0.468,0.605,5.9,1980,1980-01-01
Brian Winters,0.479,0.373,0.49,0.496,0.86,16.2,1980,1980-01-01
Bernard King,0.518,0.0,0.518,0.518,0.54,9.3,1980,1980-01-01
Bo Ellis,0.449,0.0,0.459,0.449,0.755,3.4,1980,1980-01-01
John Brown,0.352,0.0,0.352,0.352,0.792,3.5,1980,1980-01-01
John Drew,0.453,0.0,0.455,0.453,0.757,19.5,1980,1980-01-01
Jack Givens,0.385,0.0,0.386,0.385,0.828,5.7,1980,1980-01-01
Steve Hawes,0.502,0.375,0.504,0.505,0.824,9.3,1980,1980-01-01
Armond Hill,0.411,0.25,0.412,0.412,0.849,6.1,1980,1980-01-01
Eddie Johnson,0.487,0.385,0.488,0.489,0.828,18.5,1980,1980-01-01
Eddie Johnson,0.487,0.385,0.488,0.489,0.828,18.5,1980,1980-01-01
Jim Mcelroy,0.433,0.238,0.441,0.437,0.767,8.9,1980,1980-01-01
Jamaal Wilkes,0.535,0.176,0.539,0.536,0.808,20.0,1980,1980-01-01
Norm Nixon,0.516,0.125,0.519,0.517,0.779,17.6,1980,1980-01-01
Butch Lee,0.25,0.0,0.25,0.25,0.75,1.3,1980,1980-01-01
Mark Landsberger,0.516,0.0,0.516,0.516,0.523,8.0,1980,1980-01-01
Paul Westphal,0.525,0.28,0.544,0.535,0.862,21.9,1980,1980-01-01
Charlie Criss,0.431,0.059,0.442,0.432,0.811,8.3,1980,1980-01-01
Alex English,0.497,0.333,0.498,0.498,0.789,16.9,1980,1980-01-01
Rick Robey,0.521,0.0,0.522,0.521,0.684,11.5,1980,1980-01-01
Glen Gondrezick,0.517,0.333,0.521,0.521,0.76,6.6,1980,1980-01-01
Sam Smith,0.422,0.229,0.456,0.439,0.905,8.6,1980,1980-01-01
Winford Boynes,0.473,0.0,0.477,0.473,0.765,8.5,1980,1980-01-01
Bob Elliott,0.443,0.25,0.446,0.445,0.684,5.7,1980,1980-01-01
Ricky Sobers,0.469,0.309,0.481,0.48,0.837,14.2,1980,1980-01-01
Reggie Theus,0.483,0.267,0.504,0.495,0.838,20.2,1980,1980-01-01
Phil Jackson,0.63,0.0,0.659,0.63,0.7,4.1,1980,1980-01-01
Jan Van Breda Kolff,0.463,0.35,0.468,0.471,0.839,6.8,1980,1980-01-01
Robert Smith,0.439,0.308,0.453,0.454,0.87,5.0,1980,1980-01-01
Ralph Simpson,0.383,0.0,0.4,0.383,0.5,5.1,1980,1980-01-01
Cliff Robinson,0.469,0.25,0.47,0.47,0.694,13.6,1980,1980-01-01
Gary Garland,0.435,0.316,0.442,0.444,0.692,4.3,1980,1980-01-01
George Johnson,0.457,0.0,0.458,0.457,0.706,7.2,1980,1980-01-01
Roger Phegley,0.477,0.444,0.478,0.48,0.872,11.3,1980,1980-01-01
George Johnson,0.457,0.0,0.458,0.457,0.706,7.2,1980,1980-01-01
Eddie Jordan,0.43,0.25,0.439,0.436,0.779,13.3,1980,1980-01-01
Maurice Lucas,0.456,0.222,0.459,0.458,0.749,14.7,1980,1980-01-01
Mike Newlin,0.46,0.296,0.481,0.477,0.884,20.9,1980,1980-01-01
Spencer Haywood,0.487,0.25,0.489,0.488,0.772,9.7,1980,1980-01-01
Michael Cooper,0.524,0.25,0.534,0.529,0.776,8.8,1980,1980-01-01
Jim Chones,0.489,0.0,0.491,0.489,0.74,10.6,1980,1980-01-01
Marty Byrnes,0.5,0.0,0.5,0.5,0.867,2.0,1980,1980-01-01
John Mengelt,0.542,0.0,0.563,0.542,0.796,6.1,1980,1980-01-01
Scott May,0.45,0.0,0.453,0.45,0.837,12.4,1980,1980-01-01
Duck Williams,0.447,0.0,0.458,0.447,0.7,6.6,1980,1980-01-01
Dwight Jones,0.508,0.0,0.508,0.508,0.726,8.9,1980,1980-01-01
Kim Hughes,0.505,0.0,0.505,0.505,0.366,3.1,1980,1980-01-01
Dan Issel,0.505,0.333,0.506,0.506,0.775,23.8,1980,1980-01-01
George Johnson,0.476,0.222,0.48,0.478,0.783,10.2,1980,1980-01-01
George Johnson,0.476,0.222,0.48,0.478,0.783,10.2,1980,1980-01-01
Arvid Kramer,0.318,0.0,0.318,0.318,1.0,2.0,1980,1980-01-01
Andre Wakefield,0.4,0.0,0.4,0.4,1.0,1.9,1980,1980-01-01
Jerome Whitehead,0.509,0.0,0.509,0.509,0.286,2.5,1980,1980-01-01
Ollie Mack,0.492,0.0,0.505,0.492,0.745,4.7,1980,1980-01-01
John Roche,0.478,0.38,0.498,0.511,0.866,11.4,1980,1980-01-01
Charlie Scott,0.401,0.182,0.405,0.403,0.72,9.3,1980,1980-01-01
Anthony Roberts,0.381,0.0,0.383,0.381,0.65,7.7,1980,1980-01-01
Bob Wilkerson,0.417,0.206,0.425,0.421,0.748,13.8,1980,1980-01-01
Ollie Johnson,0.497,0.091,0.506,0.498,0.882,7.7,1980,1980-01-01
Dave Greenwood,0.474,0.143,0.476,0.474,0.81,16.3,1980,1980-01-01
Artis Gilmore,0.595,0.0,0.595,0.595,0.712,17.8,1980,1980-01-01
David Thompson,0.468,0.368,0.472,0.474,0.758,21.5,1980,1980-01-01
Coby Dietrick,0.454,0.111,0.46,0.455,0.763,6.9,1980,1980-01-01
Kareem Abdul-Jabbar,0.604,0.0,0.604,0.604,0.765,24.8,1980,1980-01-01
Roger Brown,0.333,0.0,0.333,0.333,0.0,0.5,1980,1980-01-01
Del Beshore,0.352,0.385,0.348,0.372,0.667,3.6,1980,1980-01-01
Dennis Awtrey,0.45,0.0,0.45,0.45,0.64,3.3,1980,1980-01-01
Rick Wilson,0.143,0.0,0.143,0.143,0.667,1.6,1980,1980-01-01
Kevin Kunnert,0.468,0.0,0.468,0.468,0.778,4.4,1981,1981-01-01
Tom Owens,0.511,0.0,0.514,0.511,0.764,10.6,1981,1981-01-01
Mychal Thompson,0.494,0.0,0.495,0.494,0.641,17.0,1981,1981-01-01
Jim Paxson,0.536,0.067,0.549,0.537,0.734,17.1,1981,1981-01-01
Kelvin Ransey,0.452,0.097,0.462,0.453,0.749,15.2,1981,1981-01-01
Mike Harper,0.412,0.0,0.421,0.412,0.435,2.7,1981,1981-01-01
Calvin Natt,0.497,0.5,0.497,0.5,0.707,13.4,1981,1981-01-01
Jeff Judkins,0.426,0.321,0.441,0.447,0.882,3.8,1981,1981-01-01
Mel Bennett,0.433,0.0,0.448,0.433,0.654,3.8,1981,1981-01-01
Darrell Griffith,0.464,0.192,0.473,0.467,0.716,20.6,1981,1981-01-01
Rickey Green,0.481,0.0,0.482,0.481,0.722,9.0,1981,1981-01-01
Roy Hamilton,0.333,0.0,0.333,0.333,0.5,3.0,1981,1981-01-01
John Duren,0.327,0.0,0.33,0.327,0.556,1.8,1981,1981-01-01
Adrian Dantley,0.559,0.286,0.56,0.559,0.806,30.7,1981,1981-01-01
Wayne Cooper,0.452,0.333,0.453,0.453,0.689,6.9,1981,1981-01-01
James Hardy,0.468,0.0,0.468,0.468,0.55,5.0,1981,1981-01-01
Dick Miller,0.444,0.0,0.5,0.444,0.0,1.0,1981,1981-01-01
Carl Nicks,0.479,0.0,0.485,0.479,0.563,6.2,1981,1981-01-01
Ben Poquette,0.528,0.5,0.528,0.53,0.778,9.5,1981,1981-01-01
Brett Vroman,0.37,0.0,0.385,0.37,0.737,3.1,1981,1981-01-01
Jeff Wilkins,0.45,0.0,0.45,0.45,0.675,4.7,1981,1981-01-01
James Silas,0.477,0.0,0.478,0.477,0.85,17.7,1981,1981-01-01
Kevin Restani,0.52,0.375,0.524,0.524,0.705,7.0,1981,1981-01-01
Mark Olberding,0.508,0.143,0.512,0.509,0.829,12.3,1981,1981-01-01
Allan Bristow,0.444,0.278,0.449,0.448,0.838,8.7,1981,1981-01-01
Ron Boone,0.431,0.282,0.449,0.446,0.798,7.8,1981,1981-01-01
Kermit Washington,0.569,0.0,0.57,0.569,0.628,11.4,1981,1981-01-01
Bob Gross,0.528,0.0,0.538,0.528,0.849,7.8,1981,1981-01-01
Ollie Johnson,0.551,0.167,0.566,0.554,0.871,5.1,1981,1981-01-01
Geoff Crompton,0.5,0.0,0.5,0.5,0.2,1.5,1981,1981-01-01
Caldwell Jones,0.449,0.0,0.449,0.449,0.767,7.2,1981,1981-01-01
Steve Mix,0.501,0.0,0.503,0.501,0.833,10.8,1981,1981-01-01
Rickey Brown,0.512,0.0,0.512,0.512,0.762,4.0,1981,1981-01-01
Joe Barry Carroll,0.491,0.0,0.492,0.491,0.716,18.9,1981,1981-01-01
Phil Chenier,0.333,0.333,0.333,0.348,1.0,3.2,1981,1981-01-01
World B. Free,0.446,0.161,0.454,0.448,0.814,24.1,1981,1981-01-01
Joe Hassett,0.421,0.34,0.489,0.499,0.81,8.7,1981,1981-01-01
Bernard King,0.588,0.333,0.589,0.588,0.703,21.9,1981,1981-01-01
John Lucas,0.439,0.167,0.452,0.443,0.738,8.4,1981,1981-01-01
Bill Mayfield,0.444,0.0,0.444,0.444,0.5,2.4,1981,1981-01-01
