Player,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,PTS,Year,Pts Won,season_date
Dejuan Blair,3.6,7.2,0.501,0.0,0.0,0.0,3.6,7.2,0.503,0.501,1.1,1.7,0.657,8.3,2011,0.0,2011-01-01
Matt Bonner,2.6,5.6,0.464,1.6,3.5,0.457,1.0,2.1,0.475,0.605,0.5,0.7,0.744,7.3,2011,0.0,2011-01-01
Tim Duncan,5.5,11.0,0.5,0.0,0.1,0.0,5.5,11.0,0.502,0.5,2.4,3.4,0.716,13.4,2011,0.0,2011-01-01
Manu Ginóbili,5.5,12.7,0.433,1.9,5.5,0.349,3.6,7.2,0.497,0.509,4.5,5.1,0.871,17.4,2011,20.0,2011-01-01
Danny Green,2.1,4.4,0.486,0.9,2.4,0.368,1.3,2.0,0.625,0.586,0.0,0.0,0.0,5.1,2011,0.0,2011-01-01
George Hill,3.8,8.3,0.453,1.0,2.7,0.377,2.8,5.6,0.49,0.514,3.1,3.6,0.863,11.6,2011,0.0,2011-01-01
Richard Jefferson,3.8,7.9,0.474,1.7,3.8,0.44,2.1,4.1,0.504,0.579,1.8,2.4,0.759,11.0,2011,0.0,2011-01-01
Antonio Mcdyess,2.3,4.7,0.491,0.0,0.0,0.0,2.3,4.7,0.493,0.491,0.7,1.1,0.675,5.3,2011,0.0,2011-01-01
Gary Neal,3.6,7.9,0.451,1.6,3.9,0.419,2.0,4.1,0.481,0.553,1.1,1.3,0.808,9.8,2011,0.0,2011-01-01
Steve Novak,1.2,2.2,0.522,0.9,1.5,0.565,0.3,0.7,0.429,0.716,0.3,0.3,1.0,3.5,2011,0.0,2011-01-01
Tony Parker,7.1,13.7,0.519,0.3,0.9,0.357,6.8,12.8,0.531,0.531,3.0,3.9,0.769,17.5,2011,3.0,2011-01-01
Chris Quinn,0.8,2.2,0.363,0.3,0.9,0.297,0.5,1.3,0.407,0.423,0.1,0.2,0.5,2.0,2011,0.0,2011-01-01
Bobby Simmons,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,0.0,2011-01-01
Tiago Splitter,1.7,3.2,0.529,0.0,0.0,0.0,1.7,3.2,0.532,0.529,1.3,2.3,0.543,4.6,2011,0.0,2011-01-01
Ime Udoka,0.3,1.1,0.238,0.0,0.4,0.0,0.3,0.7,0.385,0.238,0.2,0.4,0.5,0.7,2011,0.0,2011-01-01
James Anderson,1.3,3.4,0.379,0.4,1.3,0.279,0.9,2.1,0.443,0.434,0.8,1.0,0.75,3.7,2012,0.0,2012-01-01
Dejuan Blair,4.2,7.9,0.534,0.0,0.0,0.0,4.2,7.9,0.535,0.534,1.1,1.9,0.613,9.5,2012,0.0,2012-01-01
Matt Bonner,2.4,5.4,0.44,1.6,3.8,0.42,0.8,1.5,0.49,0.59,0.2,0.3,0.762,6.6,2012,0.0,2012-01-01
Derrick Byars,1.5,5.5,0.273,0.0,3.0,0.0,1.5,2.5,0.6,0.273,2.0,2.0,1.0,5.0,2012,0.0,2012-01-01
Eric Dawson,1.8,3.0,0.583,0.0,0.0,0.0,1.8,3.0,0.583,0.583,0.3,0.5,0.5,3.8,2012,0.0,2012-01-01
Boris Diaw,2.7,6.2,0.444,0.5,1.7,0.313,2.2,4.4,0.496,0.489,0.4,0.6,0.629,6.4,2012,0.0,2012-01-01
Ike Diogu,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2012,0.0,2012-01-01
Tim Duncan,6.2,12.6,0.492,0.0,0.1,0.0,6.2,12.6,0.495,0.492,3.0,4.3,0.695,15.4,2012,3.0,2012-01-01
T.J. Ford,1.4,3.1,0.442,0.1,0.6,0.25,1.2,2.5,0.486,0.465,0.8,1.0,0.786,3.6,2012,0.0,2012-01-01
Manu Ginóbili,4.4,8.4,0.526,1.5,3.7,0.413,2.9,4.7,0.616,0.618,2.6,3.0,0.871,12.9,2012,0.0,2012-01-01
Danny Green,3.2,7.2,0.442,1.5,3.5,0.436,1.7,3.7,0.449,0.549,1.2,1.5,0.79,9.1,2012,0.0,2012-01-01
Stephen Jackson,3.4,9.0,0.374,1.0,3.6,0.288,2.3,5.4,0.431,0.432,2.0,2.4,0.825,9.8,2012,0.0,2012-01-01
Cory Joseph,0.8,2.4,0.314,0.1,0.5,0.2,0.7,1.9,0.345,0.336,0.4,0.6,0.647,2.0,2012,0.0,2012-01-01
Kawhi Leonard,3.1,6.3,0.493,0.6,1.7,0.376,2.5,4.6,0.536,0.543,1.1,1.4,0.773,7.9,2012,0.0,2012-01-01
Patty Mills,3.9,8.1,0.485,1.5,3.5,0.429,2.4,4.6,0.527,0.577,0.9,0.9,1.0,10.3,2012,0.0,2012-01-01
Gary Neal,3.8,8.7,0.436,1.5,3.5,0.419,2.3,5.1,0.448,0.522,0.9,1.1,0.781,9.9,2012,0.0,2012-01-01
Tony Parker,7.1,14.8,0.48,0.2,1.0,0.23,6.9,13.8,0.498,0.488,3.8,4.7,0.799,18.3,2012,331.0,2012-01-01
Tiago Splitter,3.6,5.8,0.618,0.0,0.0,0.0,3.6,5.8,0.618,0.618,2.1,3.1,0.691,9.3,2012,0.0,2012-01-01
Malcolm Thomas,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.7,0.5,0.3,2012,0.0,2012-01-01
James Anderson,1.3,3.2,0.413,0.5,1.5,0.35,0.8,1.7,0.47,0.496,0.6,0.7,0.857,3.8,2013,0.0,2013-01-01
Ömer Aşık,4.0,7.5,0.541,0.0,0.0,0.0,4.0,7.5,0.542,0.541,2.0,3.6,0.562,10.1,2013,0.0,2013-01-01
Patrick Beverley,1.9,4.6,0.418,0.9,2.3,0.375,1.0,2.3,0.462,0.513,0.8,1.0,0.829,5.6,2013,0.0,2013-01-01
Aaron Brooks,2.7,6.0,0.453,0.9,2.5,0.373,1.8,3.4,0.511,0.532,0.8,1.0,0.769,7.1,2013,0.0,2013-01-01
Carlos Delfino,3.7,9.3,0.405,2.4,6.3,0.375,1.4,3.0,0.467,0.532,0.7,0.8,0.857,10.6,2013,0.0,2013-01-01
Francisco García,2.0,5.2,0.393,1.2,3.1,0.374,0.9,2.1,0.421,0.505,0.3,0.4,0.857,5.5,2013,0.0,2013-01-01
James Harden,7.5,17.1,0.438,2.3,6.2,0.368,5.2,10.9,0.477,0.504,8.6,10.2,0.851,25.9,2013,33.0,2013-01-01
Terrence Jones,2.3,4.9,0.457,0.3,1.0,0.263,2.0,3.9,0.507,0.484,0.7,0.9,0.765,5.5,2013,0.0,2013-01-01
Jeremy Lin,4.8,10.9,0.441,1.1,3.1,0.339,3.8,7.8,0.483,0.49,2.6,3.4,0.785,13.4,2013,0.0,2013-01-01
Scott Machado,0.5,1.0,0.5,0.0,0.2,0.0,0.5,0.8,0.6,0.5,0.3,0.3,1.0,1.3,2013,0.0,2013-01-01
Donatas Motiejūnas,2.2,4.8,0.455,0.5,1.9,0.289,1.7,3.0,0.562,0.512,0.7,1.2,0.627,5.7,2013,0.0,2013-01-01
Tim Ohlbrecht,0.3,1.0,0.333,0.0,0.0,0.0,0.3,1.0,0.333,0.333,0.3,0.3,1.0,1.0,2013,0.0,2013-01-01
Chandler Parsons,6.0,12.4,0.486,2.0,5.2,0.385,4.0,7.2,0.559,0.567,1.5,2.0,0.729,15.5,2013,0.0,2013-01-01
Thomas Robinson,2.0,4.6,0.43,0.0,0.0,0.0,2.0,4.6,0.431,0.43,0.8,1.6,0.523,4.8,2013,0.0,2013-01-01
Greg Smith,2.4,3.9,0.62,0.0,0.0,0.0,2.4,3.9,0.623,0.62,1.2,1.9,0.623,6.0,2013,0.0,2013-01-01
James Anderson,3.9,9.0,0.431,1.4,4.4,0.328,2.4,4.6,0.53,0.511,1.0,1.3,0.726,10.1,2014,0.0,2014-01-01
Lorenzo Brown,1.0,3.3,0.302,0.1,1.2,0.1,0.9,2.2,0.411,0.32,0.3,0.5,0.692,2.5,2014,0.0,2014-01-01
Michael Carter-Williams,6.1,15.1,0.405,0.8,3.0,0.264,5.3,12.1,0.44,0.431,3.7,5.2,0.703,16.7,2014,0.0,2014-01-01
Brandon Davies,1.1,2.5,0.422,0.0,0.2,0.2,1.0,2.3,0.441,0.43,0.7,1.0,0.642,2.8,2014,0.0,2014-01-01
Darius Johnson-Odom,0.0,2.3,0.0,0.0,1.0,0.0,0.0,1.3,0.0,0.0,0.0,0.7,0.0,0.0,2014,0.0,2014-01-01
Eric Maynor,1.0,3.3,0.317,0.4,1.2,0.324,0.6,2.1,0.313,0.376,0.2,0.4,0.545,2.6,2014,0.0,2014-01-01
Arnett Moultrie,1.3,3.2,0.421,0.0,0.0,0.0,1.3,3.2,0.421,0.421,0.3,0.4,0.8,3.0,2014,0.0,2014-01-01
Byron Mullens,1.6,3.7,0.442,0.7,2.0,0.371,0.9,1.7,0.526,0.542,0.2,0.4,0.5,4.2,2014,0.0,2014-01-01
James Nunnally,1.2,3.5,0.326,0.6,1.9,0.32,0.5,1.6,0.333,0.413,0.5,0.7,0.667,3.4,2014,0.0,2014-01-01
Daniel Orton,1.0,2.1,0.447,0.0,0.0,0.0,1.0,2.1,0.447,0.447,1.0,1.4,0.767,3.0,2014,0.0,2014-01-01
Henry Sims,2.8,6.0,0.474,0.0,0.0,0.0,2.8,5.9,0.476,0.474,2.0,2.6,0.744,7.6,2014,0.0,2014-01-01
Adonis Thomas,1.0,2.3,0.429,0.2,0.8,0.2,0.8,1.5,0.556,0.464,0.2,0.2,1.0,2.3,2014,0.0,2014-01-01
Hollis Thompson,2.2,4.8,0.46,0.9,2.2,0.401,1.4,2.7,0.507,0.55,0.7,0.9,0.712,6.0,2014,0.0,2014-01-01
Jarvis Varnado,1.5,2.5,0.6,0.0,0.0,0.0,1.5,2.5,0.6,0.6,1.1,2.2,0.519,4.1,2014,0.0,2014-01-01
Casper Ware,2.0,4.7,0.429,0.8,2.3,0.333,1.2,2.3,0.524,0.512,0.6,0.7,0.833,5.3,2014,0.0,2014-01-01
Elliot Williams,2.1,5.0,0.415,0.6,1.9,0.296,1.5,3.2,0.486,0.47,1.3,1.8,0.731,6.0,2014,0.0,2014-01-01
Tony Wroten,4.8,11.2,0.427,0.6,2.6,0.213,4.2,8.6,0.492,0.452,2.9,4.5,0.641,13.0,2014,0.0,2014-01-01
Thaddeus Young,7.4,16.2,0.454,1.1,3.7,0.308,6.2,12.5,0.496,0.489,2.1,2.9,0.712,17.9,2014,0.0,2014-01-01
Justin Anderson,1.3,3.2,0.406,0.4,1.5,0.265,0.9,1.7,0.533,0.469,0.8,1.0,0.8,3.8,2016,0.0,2016-01-01
J.J. Barea,4.3,9.6,0.446,1.4,3.5,0.385,2.9,6.1,0.481,0.516,1.0,1.3,0.771,10.9,2016,0.0,2016-01-01
Jeremy Evans,0.9,1.6,0.542,0.1,0.5,0.25,0.7,1.1,0.688,0.583,0.5,0.7,0.714,2.4,2016,0.0,2016-01-01
Raymond Felton,3.5,8.5,0.406,0.8,2.7,0.282,2.7,5.9,0.463,0.45,1.9,2.2,0.847,9.5,2016,0.0,2016-01-01
Devin Harris,2.6,5.8,0.447,0.8,2.5,0.329,1.8,3.4,0.532,0.516,1.6,2.2,0.721,7.6,2016,0.0,2016-01-01
David Lee,3.2,6.1,0.531,0.0,0.0,0.0,3.2,6.1,0.533,0.531,1.3,1.7,0.763,7.8,2016,0.0,2016-01-01
Wesley Matthews,4.2,10.9,0.388,2.4,6.7,0.36,1.8,4.2,0.432,0.498,1.6,1.9,0.863,12.5,2016,0.0,2016-01-01
Javale Mcgee,2.3,3.9,0.575,0.0,0.0,0.0,2.3,3.9,0.579,0.575,0.5,1.1,0.5,5.1,2016,0.0,2016-01-01
Salah Mejri,1.4,2.3,0.628,0.0,0.0,0.0,1.4,2.3,0.636,0.628,0.8,1.4,0.587,3.7,2016,0.0,2016-01-01
Dirk Nowitzki,6.6,14.8,0.448,1.7,4.6,0.368,5.0,10.3,0.483,0.504,3.3,3.7,0.893,18.3,2016,0.0,2016-01-01
Zaza Pachulia,2.9,6.2,0.466,0.0,0.0,0.0,2.9,6.1,0.469,0.466,2.8,3.6,0.768,8.6,2016,0.0,2016-01-01
Chandler Parsons,5.2,10.7,0.492,1.7,4.1,0.414,3.5,6.6,0.54,0.571,1.5,2.2,0.684,13.7,2016,0.0,2016-01-01
Dwight Powell,2.1,4.3,0.493,0.0,0.2,0.125,2.1,4.1,0.514,0.497,1.5,2.1,0.739,5.8,2016,0.0,2016-01-01
Charlie Villanueva,2.0,5.3,0.382,0.8,2.8,0.273,1.3,2.5,0.503,0.454,0.4,0.4,0.917,5.1,2016,0.0,2016-01-01
Deron Williams,4.9,11.9,0.414,1.5,4.3,0.344,3.4,7.6,0.454,0.477,2.8,3.2,0.869,14.1,2016,0.0,2016-01-01
Justin Anderson,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.791,7.1,2017,0.0,2017-01-01
Jerryd Bayless,3.7,10.7,0.344,0.7,1.7,0.4,3.0,9.0,0.333,0.375,3.0,3.3,0.9,11.0,2017,0.0,2017-01-01
Robert Covington,4.4,10.9,0.399,2.0,6.1,0.333,2.3,4.8,0.484,0.492,2.1,2.6,0.822,12.9,2017,0.0,2017-01-01
Joel Embiid,6.5,13.8,0.466,1.2,3.2,0.367,5.3,10.7,0.495,0.508,6.2,7.9,0.783,20.2,2017,0.0,2017-01-01
Justin Harper,1.7,4.0,0.417,0.7,2.3,0.286,1.0,1.7,0.6,0.5,0.0,0.0,0.0,4.0,2017,0.0,2017-01-01
Gerald Henderson,3.3,7.7,0.423,0.8,2.4,0.353,2.4,5.3,0.455,0.478,1.8,2.3,0.806,9.2,2017,0.0,2017-01-01
Gerald Henderson,3.3,7.7,0.423,0.8,2.4,0.353,2.4,5.3,0.455,0.478,1.8,2.3,0.806,9.2,2017,0.0,2017-01-01
Richaun Holmes,4.0,7.2,0.558,0.5,1.4,0.351,3.6,5.9,0.606,0.591,1.3,1.8,0.699,9.8,2017,0.0,2017-01-01
Shawn Long,3.4,6.1,0.56,0.4,1.1,0.368,3.0,5.0,0.6,0.592,1.1,1.9,0.543,8.2,2017,0.0,2017-01-01
Timothé Luwawu-Cabarrot,2.1,5.2,0.402,0.7,2.3,0.311,1.4,2.9,0.475,0.471,1.5,1.8,0.854,6.4,2017,0.0,2017-01-01
T.J. Mcconnell,2.9,6.3,0.461,0.1,0.7,0.2,2.8,5.6,0.492,0.472,0.9,1.1,0.811,6.9,2017,0.0,2017-01-01
Jahlil Okafor,4.8,9.4,0.514,0.0,0.0,0.0,4.8,9.4,0.514,0.514,2.1,3.2,0.671,11.8,2017,0.0,2017-01-01
Alex Poythress,4.2,9.0,0.463,1.0,3.2,0.316,3.2,5.8,0.543,0.519,1.3,1.7,0.8,10.7,2017,0.0,2017-01-01
Sergio Rodríguez,3.1,7.9,0.392,1.4,3.7,0.365,1.7,4.2,0.415,0.478,0.3,0.4,0.667,7.8,2017,0.0,2017-01-01
Dario Šarić,4.7,11.4,0.411,1.3,4.2,0.311,3.4,7.2,0.469,0.468,2.1,2.7,0.782,12.8,2017,0.0,2017-01-01
Tiago Splitter,1.8,3.9,0.452,0.3,0.8,0.333,1.5,3.1,0.48,0.484,1.1,1.4,0.818,4.9,2017,0.0,2017-01-01
Nik Stauskas,3.1,7.9,0.396,1.7,4.5,0.368,1.5,3.4,0.433,0.5,1.5,1.9,0.813,9.5,2017,0.0,2017-01-01
Justin Anderson,2.3,5.3,0.431,0.9,2.7,0.33,1.4,2.6,0.535,0.515,0.7,1.0,0.737,6.2,2018,0.0,2018-01-01
Jerryd Bayless,2.8,6.7,0.416,1.4,3.7,0.37,1.4,3.0,0.474,0.519,0.9,1.1,0.795,7.9,2018,0.0,2018-01-01
Marco Belinelli,4.2,9.6,0.441,1.9,4.9,0.377,2.4,4.6,0.509,0.539,1.9,2.0,0.908,12.1,2018,0.0,2018-01-01
Robert Covington,4.3,10.5,0.413,2.5,6.9,0.369,1.8,3.6,0.497,0.534,1.5,1.7,0.853,12.6,2018,0.0,2018-01-01
Joel Embiid,8.1,16.8,0.483,1.0,3.4,0.308,7.0,13.4,0.527,0.514,5.7,7.4,0.769,22.9,2018,4.0,2018-01-01
Markelle Fultz,3.2,7.9,0.405,0.0,0.1,0.0,3.2,7.9,0.409,0.405,0.7,1.5,0.476,7.1,2018,0.0,2018-01-01
Richaun Holmes,2.8,5.0,0.56,0.1,0.6,0.129,2.7,4.4,0.624,0.568,0.8,1.2,0.661,6.5,2018,0.0,2018-01-01
Ersan İlyasova,4.0,8.9,0.452,1.3,3.7,0.36,2.7,5.2,0.517,0.526,1.5,2.0,0.778,10.9,2018,0.0,2018-01-01
Demetrius Jackson,0.5,1.2,0.389,0.1,0.5,0.143,0.4,0.7,0.545,0.417,0.1,0.1,0.5,1.1,2018,0.0,2018-01-01
Amir Johnson,1.9,3.5,0.538,0.1,0.4,0.313,1.8,3.1,0.57,0.558,0.7,1.1,0.612,4.6,2018,0.0,2018-01-01
Furkan Korkmaz,0.6,2.0,0.286,0.4,1.2,0.294,0.2,0.8,0.273,0.375,0.1,0.3,0.5,1.6,2018,0.0,2018-01-01
Timothé Luwawu-Cabarrot,1.9,5.1,0.375,1.0,3.0,0.335,0.9,2.1,0.431,0.474,0.9,1.1,0.793,5.8,2018,0.0,2018-01-01
James Michael Mcadoo,0.7,2.3,0.286,0.7,2.3,0.286,0.0,0.0,0.0,0.429,0.7,0.7,1.0,2.7,2018,0.0,2018-01-01
T.J. Mcconnell,2.8,5.5,0.499,0.4,0.8,0.435,2.4,4.7,0.51,0.531,0.4,0.5,0.795,6.3,2018,0.0,2018-01-01
Jacob Pullen,0.3,0.7,0.5,0.0,0.3,0.0,0.3,0.3,1.0,0.5,0.0,0.0,0.0,0.7,2018,0.0,2018-01-01
J.J. Redick,5.8,12.6,0.46,2.8,6.6,0.42,3.0,6.0,0.504,0.569,2.8,3.1,0.904,17.1,2018,0.0,2018-01-01
Dario Šarić,5.2,11.4,0.453,2.0,5.1,0.393,3.2,6.3,0.501,0.541,2.3,2.7,0.86,14.6,2018,0.0,2018-01-01
Ben Simmons,6.7,12.3,0.545,0.0,0.1,0.0,6.7,12.2,0.551,0.545,2.4,4.2,0.56,15.8,2018,0.0,2018-01-01
James Young,0.8,2.3,0.357,0.5,1.7,0.3,0.3,0.7,0.5,0.464,0.7,1.0,0.667,2.8,2018,0.0,2018-01-01
Kenny Anderson,7.0,16.8,0.417,0.5,1.6,0.303,6.5,15.2,0.429,0.432,4.2,5.2,0.818,18.8,1994,0.0,1994-01-01
Benoit Benjamin,3.7,7.6,0.48,0.0,0.0,0.0,3.7,7.6,0.48,0.48,2.0,2.8,0.71,9.3,1994,0.0,1994-01-01
P.J. Brown,2.1,5.1,0.415,0.0,0.1,0.167,2.1,5.0,0.419,0.417,1.5,1.9,0.757,5.7,1994,0.0,1994-01-01
Derrick Coleman,7.0,15.7,0.447,0.5,1.6,0.314,6.5,14.1,0.462,0.463,5.7,7.4,0.774,20.2,1994,0.0,1994-01-01
Kevin Edwards,5.7,12.5,0.458,0.4,1.2,0.354,5.3,11.3,0.469,0.475,2.0,2.6,0.77,14.0,1994,0.0,1994-01-01
Armen Gilliam,4.2,8.3,0.51,0.0,0.0,0.0,4.2,8.3,0.511,0.51,3.3,4.4,0.759,11.8,1994,0.0,1994-01-01
Dave Jamerson,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.4,0.6,0.667,0.4,1994,0.0,1994-01-01
Rick Mahorn,0.8,1.7,0.489,0.0,0.0,0.0,0.8,1.6,0.5,0.489,0.5,0.7,0.65,2.1,1994,0.0,1994-01-01
Chris Morris,4.1,9.1,0.447,1.1,2.9,0.361,3.0,6.1,0.489,0.506,1.7,2.4,0.72,10.9,1994,0.0,1994-01-01
Johnny Newman,3.9,8.2,0.471,0.3,1.1,0.267,3.6,7.1,0.503,0.489,2.2,2.8,0.809,10.3,1994,0.0,1994-01-01
Dwayne Schintzius,1.0,2.8,0.345,0.0,0.0,0.0,1.0,2.8,0.345,0.345,0.3,0.6,0.588,2.3,1994,0.0,1994-01-01
Rex Walters,1.3,2.4,0.522,0.3,0.6,0.5,1.0,1.8,0.529,0.583,0.6,0.7,0.824,3.4,1994,0.0,1994-01-01
David Wesley,1.1,2.9,0.368,0.2,0.8,0.234,0.9,2.1,0.417,0.399,0.7,0.9,0.83,3.1,1994,0.0,1994-01-01
Jayson Williams,1.8,4.2,0.427,0.0,0.0,0.0,1.8,4.2,0.427,0.427,1.0,1.7,0.605,4.6,1994,0.0,1994-01-01
Kenny Anderson,5.7,14.3,0.399,1.3,4.1,0.33,4.4,10.2,0.426,0.446,4.8,5.8,0.841,17.6,1995,0.0,1995-01-01
Benoit Benjamin,4.4,8.7,0.51,0.0,0.0,0.0,4.4,8.7,0.51,0.51,2.2,2.9,0.76,11.1,1995,0.0,1995-01-01
P.J. Brown,3.2,7.1,0.446,0.1,0.3,0.167,3.1,6.8,0.458,0.449,1.7,2.6,0.671,8.1,1995,0.0,1995-01-01
Chris Childs,2.0,5.3,0.38,0.8,2.4,0.328,1.2,2.9,0.422,0.453,1.0,1.4,0.753,5.8,1995,0.0,1995-01-01
Derrick Coleman,6.6,15.6,0.424,0.5,2.1,0.233,6.1,13.5,0.454,0.44,6.7,8.8,0.767,20.5,1995,0.0,1995-01-01
Yinka Dare,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1995,0.0,1995-01-01
Kevin Edwards,4.9,11.0,0.448,1.3,3.2,0.4,3.6,7.8,0.468,0.506,2.9,3.0,0.952,14.0,1995,0.0,1995-01-01
Sleepy Floyd,1.5,4.4,0.335,0.5,1.8,0.284,1.0,2.6,0.371,0.394,0.6,0.9,0.698,4.1,1995,0.0,1995-01-01
Armen Gilliam,5.5,11.0,0.503,0.0,0.0,0.0,5.5,11.0,0.504,0.503,3.7,4.8,0.77,14.8,1995,0.0,1995-01-01
Sean Higgins,1.8,4.8,0.385,0.4,1.4,0.295,1.4,3.4,0.421,0.427,0.6,0.7,0.875,4.7,1995,0.0,1995-01-01
Rick Mahorn,1.4,2.6,0.523,0.0,0.1,0.333,1.3,2.6,0.527,0.526,0.7,0.8,0.796,3.4,1995,0.0,1995-01-01
Chris Morris,4.9,12.1,0.41,1.5,4.5,0.334,3.5,7.6,0.455,0.472,2.0,2.7,0.728,13.4,1995,0.0,1995-01-01
Dwayne Schintzius,1.0,2.5,0.38,0.0,0.0,0.0,1.0,2.5,0.38,0.38,0.1,0.3,0.545,2.0,1995,0.0,1995-01-01
Rex Walters,2.6,5.9,0.439,0.9,2.5,0.362,1.7,3.4,0.495,0.515,0.5,0.7,0.769,6.5,1995,0.0,1995-01-01
Jayson Williams,2.0,4.3,0.461,0.0,0.1,0.0,2.0,4.2,0.469,0.461,0.9,1.6,0.533,4.8,1995,0.0,1995-01-01
Kenny Anderson,5.9,13.9,0.427,1.6,4.5,0.361,4.3,9.4,0.458,0.485,4.1,5.3,0.768,17.5,1997,0.0,1997-01-01
Stacey Augmon,1.8,3.7,0.477,0.0,0.0,0.0,1.8,3.7,0.477,0.477,1.2,1.6,0.711,4.7,1997,0.0,1997-01-01
Marcus Brown,1.3,3.3,0.4,0.6,1.5,0.406,0.7,1.8,0.395,0.493,0.6,0.9,0.684,3.9,1997,0.0,1997-01-01
Mitchell Butler,1.1,2.6,0.416,0.2,0.8,0.308,0.8,1.8,0.465,0.464,0.7,1.0,0.64,3.0,1997,0.0,1997-01-01
Aleksandar Djordjevic,1.0,2.0,0.5,0.6,0.9,0.714,0.4,1.1,0.333,0.656,0.5,0.6,0.8,3.1,1997,0.0,1997-01-01
Chris Dudley,1.6,3.6,0.43,0.0,0.0,0.0,1.6,3.6,0.43,0.43,0.8,1.7,0.474,3.9,1997,0.0,1997-01-01
Ruben Nembhard,1.6,3.7,0.432,0.0,0.6,0.0,1.6,3.1,0.516,0.432,0.8,1.0,0.8,4.0,1997,0.0,1997-01-01
Jermaine O'Neal,1.5,3.4,0.451,0.0,0.0,0.0,1.5,3.4,0.454,0.451,1.0,1.7,0.603,4.1,1997,0.0,1997-01-01
Isaiah Rider,6.0,12.9,0.464,1.3,3.4,0.385,4.7,9.6,0.492,0.514,2.8,3.4,0.812,16.1,1997,0.0,1997-01-01
Clifford Robinson,5.5,12.9,0.426,1.5,4.3,0.346,4.0,8.6,0.466,0.484,2.7,3.8,0.696,15.1,1997,0.0,1997-01-01
Rumeal Robinson,1.2,3.0,0.402,0.3,1.0,0.321,0.9,2.0,0.444,0.457,0.5,0.6,0.743,3.3,1997,0.0,1997-01-01
Arvydas Sabonis,4.8,9.5,0.498,0.7,1.9,0.371,4.0,7.6,0.53,0.536,3.2,4.2,0.777,13.4,1997,0.0,1997-01-01
Gary Trent,4.4,8.2,0.536,0.0,0.1,0.0,4.4,8.1,0.544,0.536,2.0,2.8,0.699,10.8,1997,0.0,1997-01-01
Rasheed Wallace,6.1,11.0,0.558,0.1,0.5,0.273,6.0,10.5,0.573,0.565,2.7,4.3,0.638,15.1,1997,0.0,1997-01-01
Ennis Whatley,0.7,1.3,0.5,0.0,0.0,0.0,0.7,1.3,0.5,0.5,0.0,0.0,0.0,1.3,1997,0.0,1997-01-01
Dontonio Wingfield,1.7,4.1,0.409,0.6,1.6,0.338,1.1,2.5,0.457,0.477,0.6,0.9,0.675,4.5,1997,0.0,1997-01-01
Kenny Anderson,4.4,11.0,0.398,0.9,2.6,0.356,3.5,8.4,0.411,0.44,2.5,3.2,0.789,12.2,1998,0.0,1998-01-01
Dana Barros,3.5,7.6,0.461,1.3,3.1,0.407,2.3,4.5,0.499,0.544,1.5,1.8,0.847,9.8,1998,0.0,1998-01-01
Bruce Bowen,2.0,4.9,0.409,0.3,1.0,0.339,1.7,3.9,0.427,0.443,1.2,2.0,0.623,5.6,1998,0.0,1998-01-01
Andrew Declercq,2.1,4.2,0.497,0.0,0.0,0.0,2.1,4.2,0.499,0.497,1.2,2.1,0.601,5.4,1998,0.0,1998-01-01
Tyus Edney,1.8,4.2,0.431,0.1,0.2,0.3,1.7,4.0,0.437,0.438,1.7,2.1,0.793,5.3,1998,0.0,1998-01-01
Pervis Ellison,1.2,2.1,0.571,0.0,0.0,0.0,1.2,2.1,0.571,0.571,0.6,1.0,0.588,3.0,1998,0.0,1998-01-01
Reggie Hanson,0.4,0.8,0.5,0.0,0.0,0.0,0.4,0.8,0.5,0.5,0.0,0.0,0.0,0.8,1998,0.0,1998-01-01
Dontae' Jones,1.3,3.8,0.333,0.4,1.5,0.261,0.9,2.3,0.382,0.386,0.0,0.0,0.0,2.9,1998,0.0,1998-01-01
Travis Knight,2.6,5.9,0.441,0.2,0.7,0.273,2.4,5.2,0.465,0.458,1.1,1.4,0.786,6.5,1998,0.0,1998-01-01
Walter Mccarty,3.6,8.9,0.404,0.7,2.1,0.309,2.9,6.8,0.434,0.441,1.8,2.4,0.742,9.6,1998,0.0,1998-01-01
Ron Mercer,6.4,14.3,0.45,0.0,0.4,0.107,6.4,14.0,0.458,0.451,2.4,2.8,0.839,15.3,1998,0.0,1998-01-01
Greg Minor,2.0,4.7,0.436,0.1,0.4,0.194,1.9,4.2,0.462,0.445,0.9,1.2,0.686,5.0,1998,0.0,1998-01-01
Žan Tabak,2.5,5.3,0.467,0.0,0.0,0.0,2.5,5.3,0.469,0.467,0.4,1.1,0.377,5.4,1998,0.0,1998-01-01
Antoine Walker,8.8,20.8,0.423,1.1,3.6,0.312,7.7,17.2,0.447,0.45,3.7,5.8,0.645,22.4,1998,6.0,1998-01-01
