Player,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,PTS,Year,Pts Won,season_date
Orlando Woolridge,3.1,6.7,0.468,0.0,0.0,0.0,3.1,6.7,0.469,0.468,3.4,4.6,0.738,9.7,1989,0.0,1989-01-01
James Worthy,8.7,15.8,0.548,0.0,0.3,0.087,8.6,15.5,0.556,0.548,3.1,4.0,0.782,20.5,1989,0.0,1989-01-01
Mahmoud Abdul-Rauf,6.2,15.1,0.413,0.4,1.5,0.24,5.9,13.6,0.432,0.425,1.3,1.5,0.857,14.1,1991,0.0,1991-01-01
Michael Adams,8.5,21.5,0.394,2.5,8.5,0.296,6.0,13.0,0.459,0.453,7.0,8.0,0.879,26.5,1991,0.0,1991-01-01
Greg Anderson,1.7,4.0,0.43,0.0,0.0,0.0,1.7,4.0,0.431,0.43,0.9,1.7,0.522,4.3,1991,0.0,1991-01-01
Kenny Battle,2.4,5.0,0.472,0.1,0.4,0.125,2.3,4.6,0.504,0.477,1.3,1.7,0.753,6.1,1991,0.0,1991-01-01
Anthony Cook,2.0,4.9,0.417,0.0,0.1,0.0,2.0,4.8,0.421,0.417,1.2,2.2,0.55,5.3,1991,0.0,1991-01-01
T.R. Dunn,1.2,2.8,0.447,0.1,0.2,0.25,1.2,2.5,0.465,0.457,0.5,0.6,0.9,3.1,1991,0.0,1991-01-01
Jim Farmer,3.7,8.3,0.453,0.2,0.9,0.217,3.6,7.4,0.48,0.464,1.8,2.4,0.738,9.4,1991,0.0,1991-01-01
Corey Gaines,2.8,7.0,0.4,0.5,2.1,0.238,2.3,4.9,0.469,0.436,2.2,2.6,0.846,8.3,1991,0.0,1991-01-01
Jerome Lane,3.3,7.4,0.438,0.0,0.1,0.25,3.2,7.4,0.44,0.439,0.9,2.3,0.411,7.5,1991,0.0,1991-01-01
Tim Legler,2.5,7.2,0.347,0.3,1.2,0.25,2.2,6.0,0.367,0.368,0.5,0.6,0.833,5.8,1991,0.0,1991-01-01
Marcus Liberty,2.8,6.8,0.421,0.2,0.8,0.298,2.6,6.0,0.436,0.438,0.8,1.2,0.63,6.7,1991,0.0,1991-01-01
Todd Lichti,5.7,13.0,0.439,0.5,1.6,0.298,5.2,11.4,0.459,0.458,2.0,2.4,0.855,14.0,1991,0.0,1991-01-01
Anthony Mason,0.7,1.3,0.5,0.0,0.0,0.0,0.7,1.3,0.5,0.5,2.0,2.7,0.75,3.3,1991,0.0,1991-01-01
Craig Neal,1.4,3.5,0.4,0.3,0.9,0.333,1.1,2.6,0.423,0.443,1.3,2.2,0.591,4.4,1991,0.0,1991-01-01
Blair Rasmussen,5.8,12.6,0.458,0.0,0.1,0.4,5.8,12.6,0.458,0.459,0.9,1.3,0.677,12.5,1991,0.0,1991-01-01
Reggie Williams,5.3,11.7,0.449,0.8,2.2,0.363,4.5,9.6,0.468,0.482,2.3,2.7,0.843,13.6,1991,0.0,1991-01-01
Reggie Williams,5.3,11.7,0.449,0.8,2.2,0.363,4.5,9.6,0.468,0.482,2.3,2.7,0.843,13.6,1991,0.0,1991-01-01
Joe Wolf,3.2,7.0,0.451,0.0,0.2,0.133,3.1,6.8,0.46,0.453,0.9,1.1,0.831,7.3,1991,0.0,1991-01-01
Orlando Woolridge,9.2,18.5,0.498,0.0,0.1,0.0,9.2,18.5,0.501,0.498,6.6,8.3,0.797,25.1,1991,0.0,1991-01-01
Mahmoud Abdul-Rauf,4.4,10.4,0.421,0.4,1.2,0.33,4.0,9.3,0.433,0.44,1.2,1.3,0.87,10.3,1992,0.0,1992-01-01
Greg Anderson,4.7,10.4,0.456,0.0,0.0,0.0,4.7,10.4,0.458,0.456,2.0,3.3,0.623,11.5,1992,0.0,1992-01-01
Kevin Brooks,1.2,2.6,0.443,0.1,0.3,0.182,1.1,2.3,0.477,0.454,0.5,0.6,0.81,2.8,1992,0.0,1992-01-01
Anthony Cook,0.7,1.1,0.6,0.0,0.0,0.0,0.7,1.1,0.6,0.6,0.2,0.3,0.667,1.5,1992,0.0,1992-01-01
Walter Davis,4.0,8.8,0.459,0.1,0.3,0.313,3.9,8.4,0.465,0.465,1.8,2.0,0.872,9.9,1992,0.0,1992-01-01
Winston Garland,4.3,9.6,0.444,0.1,0.4,0.321,4.2,9.3,0.449,0.45,2.2,2.6,0.859,10.8,1992,0.0,1992-01-01
Scott Hastings,0.4,1.3,0.34,0.0,0.2,0.0,0.4,1.0,0.415,0.34,0.6,0.7,0.857,1.5,1992,0.0,1992-01-01
Marcus Liberty,3.7,8.3,0.443,0.2,0.7,0.34,3.4,7.6,0.452,0.457,1.7,2.4,0.728,9.3,1992,0.0,1992-01-01
Todd Lichti,2.5,5.5,0.46,0.0,0.1,0.111,2.5,5.4,0.469,0.461,1.5,1.7,0.839,6.6,1992,0.0,1992-01-01
Mark Macon,4.4,11.7,0.375,0.1,0.4,0.133,4.3,11.3,0.383,0.377,1.8,2.4,0.73,10.6,1992,0.0,1992-01-01
Dikembe Mutombo,6.0,12.2,0.493,0.0,0.0,0.0,6.0,12.2,0.493,0.493,4.5,7.0,0.642,16.6,1992,0.0,1992-01-01
Steve Scheffler,0.5,0.8,0.667,0.0,0.0,0.0,0.5,0.8,0.667,0.667,0.8,1.1,0.75,1.9,1992,0.0,1992-01-01
Reggie Williams,7.4,15.8,0.471,0.7,1.9,0.359,6.7,13.8,0.486,0.493,2.7,3.3,0.803,18.2,1992,0.0,1992-01-01
Reggie Williams,7.4,15.8,0.471,0.7,1.9,0.359,6.7,13.8,0.486,0.493,2.7,3.3,0.803,18.2,1992,0.0,1992-01-01
Joe Wolf,1.5,4.1,0.361,0.0,0.2,0.091,1.5,4.0,0.372,0.363,0.8,1.0,0.803,3.8,1992,0.0,1992-01-01
Mahmoud Abdul-Rauf,7.8,17.4,0.45,0.9,2.4,0.355,7.0,14.9,0.465,0.475,2.7,2.9,0.935,19.2,1993,0.0,1993-01-01
Kevin Brooks,1.7,4.2,0.399,0.1,0.5,0.231,1.6,3.8,0.42,0.412,0.6,0.7,0.875,4.1,1993,0.0,1993-01-01
Laphonso Ellis,5.9,11.7,0.504,0.0,0.2,0.154,5.9,11.5,0.509,0.505,2.9,3.9,0.748,14.7,1993,0.0,1993-01-01
Tom Hammonds,1.9,4.1,0.475,0.0,0.0,0.0,1.9,4.1,0.477,0.475,0.7,1.1,0.613,4.6,1993,0.0,1993-01-01
Scott Hastings,0.8,1.5,0.509,0.0,0.1,0.25,0.7,1.4,0.529,0.518,0.5,0.7,0.727,2.1,1993,0.0,1993-01-01
Marcus Liberty,3.2,7.9,0.406,0.3,0.8,0.373,2.9,7.2,0.41,0.424,1.3,2.0,0.654,8.1,1993,0.0,1993-01-01
Todd Lichti,2.6,5.8,0.449,0.0,0.1,0.333,2.5,5.6,0.452,0.453,1.7,2.1,0.794,6.9,1993,0.0,1993-01-01
Mark Macon,3.3,7.9,0.415,0.0,0.1,0.0,3.3,7.8,0.421,0.415,0.9,1.3,0.7,7.5,1993,0.0,1993-01-01
Dikembe Mutombo,4.9,9.5,0.51,0.0,0.0,0.0,4.9,9.5,0.51,0.51,4.1,6.0,0.681,13.8,1993,0.0,1993-01-01
Robert Pack,3.7,7.9,0.47,0.0,0.1,0.125,3.7,7.8,0.475,0.471,3.1,4.0,0.768,10.5,1993,0.0,1993-01-01
